UID,movie,how_long_ago
108,Star Wars: Episode IV - A New Hope (1977),1
108,"Matrix Reloaded, The (2003)",1
108,Mrs. Doubtfire (1993),1to5
108,Star Wars: Episode VI - Return of the Jedi (1983),1
108,Terminator 2: Judgment Day (1991),1to5
108,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),1to5
108,Mission: Impossible II (2000),1to5
109,Jurassic Park (1993),gt10
109,Die Hard (1988),gt10
109,"Matrix, The (1999)",gt10
109,Aladdin (1992),gt10
109,"Day After Tomorrow, The (2004)",gt10
109,Pirates of the Caribbean: The Curse of the Black Pearl (2003),gt10
109,Independence Day (a.k.a. ID4) (1996),gt10
109,Mission: Impossible II (2000),gt10
109,"Godfather: Part II, The (1974)",gt10
109,Charlie's Angels (2000),gt10
110,Memento (2000),1to5
110,Apocalypse Now (1979),6to10
110,Mr. Holland's Opus (1995),gt10
110,Toy Story (1995),gt10
110,Alien (1979),1to5
110,"Lion King, The (1994)",1to5
110,Monsoon Wedding (2001),1
110,Best in Show (2000),1
110,Kill Bill: Vol. 2 (2004),1to5
110,Jurassic Park (1993),1
111,Apocalypse Now (1979),1to5
111,Clerks (1994),6to10
111,Dark City (1998),-1
111,Natural Born Killers (1994),-1
111,Life Is Beautiful (La Vita è bella) (1997),6to10
111,Slumdog Millionaire (2008),-1
111,Star Wars: Episode VI - Return of the Jedi (1983),-1
111,Kill Bill: Vol. 2 (2004),gt10
111,Trainspotting (1996),6to10
111,"Matrix, The (1999)",6to10
114,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),6to10
114,Batman Forever (1995),gt10
114,Seven Samurai (Shichinin no samurai) (1954),6to10
114,"Usual Suspects, The (1995)",gt10
114,Dogma (1999),gt10
114,Maverick (1994),gt10
114,Saving Private Ryan (1998),gt10
114,Fight Club (1999),gt10
114,Dark City (1998),gt10
114,"Shawshank Redemption, The (1994)",6to10
157,Apocalypse Now (1979),6to10
157,Batman (1989),6to10
157,Forrest Gump (1994),gt10
157,Aladdin (1992),gt10
157,Titanic (1997),6to10
157,American Beauty (1999),6to10
157,"Godfather: Part II, The (1974)",6to10
157,Men in Black (a.k.a. MIB) (1997),gt10
157,Pi (1998),6to10
157,Blade Runner (1982),6to10
161,Mission: Impossible II (2000),-1
161,My Cousin Vinny (1992),1
161,Twister (1996),-1
161,Hoop Dreams (1994),6to10
161,Braveheart (1995),6to10
161,American History X (1998),6to10
161,Star Wars: Episode V - The Empire Strikes Back (1980),1to5
161,Contact (1997),1to5
161,Beauty and the Beast (1991),1to5
161,Reservoir Dogs (1992),1
209,Alien (1979),gt10
209,Schindler's List (1993),gt10
209,Edward Scissorhands (1990),gt10
209,Back to the Future Part III (1990),6to10
209,Forrest Gump (1994),6to10
209,Billy Elliot (2000),1to5
209,Austin Powers: The Spy Who Shagged Me (1999),6to10
209,Dumb & Dumber (1994),6to10
209,"Fugitive, The (1993)",6to10
209,Terminator 2: Judgment Day (1991),6to10
210,Forrest Gump (1994),1
210,American History X (1998),1
210,"Fugitive, The (1993)",1
