UID,movie,how_long_ago
603,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006),-1
603,"Matrix, The (1999)",1to5
603,Forrest Gump (1994),1to5
603,Minority Report (2002),1to5
603,Schindler's List (1993),1to5
603,Toy Story (1995),1
603,Saving Private Ryan (1998),1to5
603,Ace Ventura: Pet Detective (1994),1to5
603,Jurassic Park (1993),1to5
603,Dumb & Dumber (1994),1to5
636,Batman Forever (1995),1to5
636,Bend It Like Beckham (2002),1to5
636,Saving Private Ryan (1998),1
636,Jurassic Park (1993),1
636,"Shawshank Redemption, The (1994)",1
636,Star Wars: Episode V - The Empire Strikes Back (1980),6to10
636,"Matrix, The (1999)",1to5
636,Star Wars: Episode VI - Return of the Jedi (1983),6to10
636,Star Wars: Episode IV - A New Hope (1977),6to10
636,Toy Story (1995),6to10
678,Apollo 13 (1995),6to10
678,Blade Runner (1982),1to5
678,"Matrix, The (1999)",1to5
678,"Nightmare Before Christmas, The (1993)",1
678,Princess Mononoke (Mononoke-hime) (1997),1to5
678,Jurassic Park (1993),gt10
678,Amadeus (1984),1
678,Aladdin (1992),1
678,Toy Story (1995),1to5
678,Forrest Gump (1994),1to5
708,Pulp Fiction (1994),1to5
708,Aladdin (1992),-1
708,Requiem for a Dream (2000),1to5
708,Fight Club (1999),1to5
708,Eternal Sunshine of the Spotless Mind (2004),1
753,"Nightmare Before Christmas, The (1993)",gt10
753,Braveheart (1995),1to5
753,Terminator 2: Judgment Day (1991),1to5
753,Dead Man Walking (1995),6to10
753,Requiem for a Dream (2000),1
753,"Matrix, The (1999)",1to5
753,Pulp Fiction (1994),1
753,"Shawshank Redemption, The (1994)",6to10
753,Forrest Gump (1994),6to10
753,Fight Club (1999),1to5
778,"South Park: Bigger, Longer and Uncut (1999)",1to5
778,Batman Forever (1995),gt10
778,Gigli (2003),1to5
777,Terminator 2: Judgment Day (1991),1
777,Star Wars: Episode IV - A New Hope (1977),1
777,"Fugitive, The (1993)",1
777,Independence Day (a.k.a. ID4) (1996),1
777,Dead Man Walking (1995),1
777,Batman Forever (1995),1
777,Jurassic Park (1993),1
777,Star Wars: Episode VI - Return of the Jedi (1983),1
777,Saving Private Ryan (1998),1
777,True Lies (1994),1
775,Star Wars: Episode VI - Return of the Jedi (1983),6to10
775,Monty Python and the Holy Grail (1975),1to5
775,True Lies (1994),1to5
775,Terminator 2: Judgment Day (1991),1to5
775,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),1to5
775,Batman Forever (1995),1to5
775,Jurassic Park (1993),1to5
775,"Matrix, The (1999)",6to10
775,Star Wars: Episode IV - A New Hope (1977),gt10
775,Monty Python's Life of Brian (1979),6to10
798,Ace Ventura: Pet Detective (1994),1to5
798,"Blair Witch Project, The (1999)",1to5
798,"Matrix, The (1999)",1to5
798,Jurassic Park (1993),1
798,Star Wars: Episode IV - A New Hope (1977),1to5
798,Batman Forever (1995),1to5
798,Terminator 2: Judgment Day (1991),1to5
798,Toy Story (1995),1
819,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),gt10
819,Terminator 2: Judgment Day (1991),gt10
819,Toy Story (1995),gt10
819,Forrest Gump (1994),6to10
819,Jurassic Park (1993),gt10
819,"Matrix, The (1999)",6to10
819,"Silence of the Lambs, The (1991)",gt10
819,Seven (a.k.a. Se7en) (1995),6to10
819,Amadeus (1984),gt10
819,Saving Private Ryan (1998),gt10
831,It's a Wonderful Life (1946),1to5
831,Batman Forever (1995),1to5
831,Star Wars: Episode IV - A New Hope (1977),1to5
831,"Princess Bride, The (1987)",1to5
831,Jurassic Park (1993),6to10
831,Saving Private Ryan (1998),6to10
831,Star Wars: Episode VI - Return of the Jedi (1983),6to10
831,"Matrix, The (1999)",6to10
831,Forrest Gump (1994),6to10
831,Toy Story (1995),1to5
843,"Silence of the Lambs, The (1991)",1
843,Dogma (1999),1to5
843,Independence Day (a.k.a. ID4) (1996),1to5
843,"O Brother, Where Art Thou? (2000)",6to10
843,American Beauty (1999),1
843,"Matrix, The (1999)",1
843,Fight Club (1999),6to10
843,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),gt10
843,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),gt10
843,Clerks (1994),6to10
853,Batman Forever (1995),6to10
853,True Lies (1994),6to10
853,Ace Ventura: Pet Detective (1994),6to10
853,Star Wars: Episode VI - Return of the Jedi (1983),6to10
853,"Fifth Element, The (1997)",6to10
853,"Fugitive, The (1993)",6to10
853,Toy Story (1995),6to10
853,Fight Club (1999),6to10
853,"Matrix, The (1999)",6to10
853,Star Wars: Episode IV - A New Hope (1977),6to10
851,Terminator 2: Judgment Day (1991),6to10
851,Independence Day (a.k.a. ID4) (1996),1to5
851,"Usual Suspects, The (1995)",1to5
851,Jurassic Park (1993),1to5
851,"Shawshank Redemption, The (1994)",1
851,Forrest Gump (1994),1to5
851,Seven (a.k.a. Se7en) (1995),1
851,"Matrix, The (1999)",1
851,Fight Club (1999),1
851,"O Brother, Where Art Thou? (2000)",1to5
863,"Shawshank Redemption, The (1994)",1to5
863,"O Brother, Where Art Thou? (2000)",6to10
863,Ace Ventura: Pet Detective (1994),6to10
863,Star Wars: Episode VI - Return of the Jedi (1983),1
863,"Matrix, The (1999)",1to5
875,Forrest Gump (1994),1
875,"Fifth Element, The (1997)",1to5
875,Apollo 13 (1995),6to10
875,Pulp Fiction (1994),1
875,American Beauty (1999),6to10
875,Waterworld (1995),6to10
875,Blade Runner (1982),1
875,Terminator 2: Judgment Day (1991),1to5
875,Fight Club (1999),1to5
875,Toy Story (1995),1to5
879,Seven (a.k.a. Se7en) (1995),6to10
879,"Silence of the Lambs, The (1991)",6to10
879,"South Park: Bigger, Longer and Uncut (1999)",6to10
879,Independence Day (a.k.a. ID4) (1996),gt10
879,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),gt10
879,Waterworld (1995),gt10
879,Ace Ventura: Pet Detective (1994),gt10
879,Monty Python's Life of Brian (1979),6to10
879,Fight Club (1999),gt10
879,Fargo (1996),1to5
881,Forrest Gump (1994),1to5
881,Star Wars: Episode VI - Return of the Jedi (1983),6to10
894,Fargo (1996),1to5
894,Wild Wild West (1999),1to5
894,Jurassic Park (1993),1to5
894,Forrest Gump (1994),1to5
901,Jurassic Park (1993),6to10
901,Toy Story (1995),1to5
917,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),1to5
917,Forrest Gump (1994),1to5
917,Fight Club (1999),1to5
917,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),1to5
917,Terminator 2: Judgment Day (1991),6to10
917,Star Wars: Episode VI - Return of the Jedi (1983),1to5
917,Braveheart (1995),1to5
917,Star Wars: Episode IV - A New Hope (1977),1to5
917,"Shawshank Redemption, The (1994)",1to5
917,Batman Forever (1995),1to5
927,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),-1
927,Fight Club (1999),1to5
927,Braveheart (1995),6to10
927,Seven (a.k.a. Se7en) (1995),1to5
927,Forrest Gump (1994),1
927,Terminator 2: Judgment Day (1991),6to10
927,Blade Runner (1982),1to5
927,"Shawshank Redemption, The (1994)",1to5
927,"Matrix, The (1999)",1to5
927,Requiem for a Dream (2000),1to5
929,Seven (a.k.a. Se7en) (1995),1to5
929,Forrest Gump (1994),gt10
929,Toy Story (1995),6to10
929,Jurassic Park (1993),1
929,"Shawshank Redemption, The (1994)",1
929,"Matrix, The (1999)",1to5
929,Fight Club (1999),1
931,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),gt10
931,Casablanca (1942),1
931,Dances with Wolves (1990),gt10
931,Mr. Holland's Opus (1995),gt10
931,Pulp Fiction (1994),1to5
931,Forrest Gump (1994),1to5
931,"Silence of the Lambs, The (1991)",gt10
931,Apollo 13 (1995),gt10
931,Toy Story (1995),gt10
931,M*A*S*H (a.k.a. MASH) (1970),1to5
933,Dances with Wolves (1990),6to10
933,Batman Forever (1995),gt10
933,Jurassic Park (1993),gt10
933,L.A. Confidential (1997),gt10
933,"Silence of the Lambs, The (1991)",6to10
933,Toy Story (1995),6to10
933,Fight Club (1999),-1
933,Clerks (1994),-1
933,Braveheart (1995),gt10
933,Star Wars: Episode VI - Return of the Jedi (1983),gt10
934,Independence Day (a.k.a. ID4) (1996),1to5
934,"English Patient, The (1996)",1to5
934,Forrest Gump (1994),1
934,Star Wars: Episode IV - A New Hope (1977),6to10
934,"Matrix, The (1999)",6to10
934,Star Wars: Episode VI - Return of the Jedi (1983),6to10
934,Ace Ventura: Pet Detective (1994),1to5
934,Blade Runner (1982),1
934,Jurassic Park (1993),1to5
934,Casablanca (1942),1
942,Terminator 2: Judgment Day (1991),1to5
942,Toy Story (1995),6to10
942,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),1
942,Casablanca (1942),1to5
942,Star Wars: Episode IV - A New Hope (1977),1to5
942,Jurassic Park (1993),1to5
942,"Matrix, The (1999)",1to5
942,Seven (a.k.a. Se7en) (1995),1to5
942,Pulp Fiction (1994),6to10
942,Forrest Gump (1994),6to10
943,Star Wars: Episode IV - A New Hope (1977),1to5
943,Star Wars: Episode VI - Return of the Jedi (1983),1to5
943,Best in Show (2000),6to10
943,"O Brother, Where Art Thou? (2000)",6to10
943,Forrest Gump (1994),6to10
943,Jurassic Park (1993),1to5
943,Toy Story (1995),1
943,"Blair Witch Project, The (1999)",1to5
943,Braveheart (1995),1
943,Fight Club (1999),6to10
944,Fight Club (1999),6to10
944,Forrest Gump (1994),6to10
944,Toy Story (1995),gt10
944,"Matrix, The (1999)",1
944,Seven (a.k.a. Se7en) (1995),6to10
944,"Silence of the Lambs, The (1991)",1to5
944,Requiem for a Dream (2000),1to5
944,Eternal Sunshine of the Spotless Mind (2004),6to10
944,American Beauty (1999),6to10
944,Pulp Fiction (1994),6to10
947,"O Brother, Where Art Thou? (2000)",6to10
947,Toy Story (1995),gt10
947,Braveheart (1995),gt10
947,Gigli (2003),6to10
947,Dances with Wolves (1990),1
947,"English Patient, The (1996)",gt10
947,Mr. Holland's Opus (1995),gt10
947,Clear and Present Danger (1994),1to5
947,M*A*S*H (a.k.a. MASH) (1970),gt10
947,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),1to5
949,Star Wars: Episode IV - A New Hope (1977),1to5
949,M*A*S*H (a.k.a. MASH) (1970),1
949,Terminator 2: Judgment Day (1991),6to10
949,Independence Day (a.k.a. ID4) (1996),6to10
949,Star Wars: Episode VI - Return of the Jedi (1983),1to5
949,Toy Story (1995),1to5
949,Jurassic Park (1993),6to10
949,"Silence of the Lambs, The (1991)",1to5
949,Apollo 13 (1995),6to10
949,"Matrix, The (1999)",1to5
950,Toy Story (1995),-1
950,Star Wars: Episode VI - Return of the Jedi (1983),-1
950,Braveheart (1995),-1
950,"Matrix, The (1999)",-1
950,"South Park: Bigger, Longer and Uncut (1999)",-1
950,Independence Day (a.k.a. ID4) (1996),1
950,Jurassic Park (1993),-1
950,Terminator 2: Judgment Day (1991),-1
950,Clerks (1994),-1
950,Star Wars: Episode IV - A New Hope (1977),-1
952,Forrest Gump (1994),gt10
952,Toy Story (1995),gt10
952,"Matrix, The (1999)",gt10
952,Jurassic Park (1993),6to10
952,Eternal Sunshine of the Spotless Mind (2004),gt10
952,Star Wars: Episode IV - A New Hope (1977),gt10
952,Ace Ventura: Pet Detective (1994),gt10
952,Monty Python's Life of Brian (1979),gt10
952,True Lies (1994),gt10
952,Amadeus (1984),gt10
953,Ace Ventura: Pet Detective (1994),1
953,Forrest Gump (1994),1to5
953,True Lies (1994),6to10
953,"Matrix, The (1999)",6to10
953,Braveheart (1995),6to10
953,Independence Day (a.k.a. ID4) (1996),1to5
953,Terminator 2: Judgment Day (1991),1to5
953,Jurassic Park (1993),1to5
953,Pulp Fiction (1994),1
953,Star Wars: Episode VI - Return of the Jedi (1983),6to10
956,Laputa: Castle in the Sky (Tenkû no shiro Rapyuta) (1986),6to10
956,Apollo 13 (1995),6to10
956,American Beauty (1999),6to10
956,Star Wars: Episode IV - A New Hope (1977),6to10
956,Jurassic Park (1993),6to10
956,Independence Day (a.k.a. ID4) (1996),6to10
956,Star Wars: Episode VI - Return of the Jedi (1983),6to10
956,"Matrix, The (1999)",6to10
956,Fight Club (1999),6to10
956,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),6to10
958,Independence Day (a.k.a. ID4) (1996),1
959,Fight Club (1999),6to10
959,Star Wars: Episode IV - A New Hope (1977),6to10
959,"Matrix, The (1999)",6to10
959,Wild Wild West (1999),6to10
959,True Lies (1994),6to10
959,Independence Day (a.k.a. ID4) (1996),6to10
959,Star Wars: Episode VI - Return of the Jedi (1983),6to10
959,Terminator 2: Judgment Day (1991),6to10
959,Jurassic Park (1993),6to10
959,Seven (a.k.a. Se7en) (1995),6to10
960,Star Wars: Episode VI - Return of the Jedi (1983),1
960,Being John Malkovich (1999),1to5
960,Pulp Fiction (1994),6to10
960,"Usual Suspects, The (1995)",6to10
960,Clerks (1994),gt10
960,Forrest Gump (1994),gt10
960,This Is Spinal Tap (1984),gt10
960,Seven (a.k.a. Se7en) (1995),gt10
960,Star Wars: Episode IV - A New Hope (1977),1to5
960,"Blair Witch Project, The (1999)",gt10
961,"Blair Witch Project, The (1999)",6to10
961,Jurassic Park (1993),1
961,Seven (a.k.a. Se7en) (1995),1
961,"Matrix, The (1999)",1
961,"Silence of the Lambs, The (1991)",1
961,Fight Club (1999),1
961,Independence Day (a.k.a. ID4) (1996),1
961,"Shawshank Redemption, The (1994)",1
961,Forrest Gump (1994),1
967,Apollo 13 (1995),6to10
967,Random Hearts (1999),6to10
967,American Beauty (1999),1to5
967,True Lies (1994),6to10
967,Independence Day (a.k.a. ID4) (1996),6to10
967,"Matrix, The (1999)",6to10
967,Dances with Wolves (1990),1
967,Fight Club (1999),6to10
967,Ace Ventura: Pet Detective (1994),6to10
967,Wild Wild West (1999),1to5
972,Star Wars: Episode IV - A New Hope (1977),1to5
972,Best in Show (2000),6to10
972,Jurassic Park (1993),1to5
972,Requiem for a Dream (2000),6to10
972,Wild Wild West (1999),6to10
972,Forrest Gump (1994),1to5
972,Seven (a.k.a. Se7en) (1995),6to10
972,Apollo 13 (1995),6to10
972,Independence Day (a.k.a. ID4) (1996),6to10
972,"Silence of the Lambs, The (1991)",1to5
973,True Lies (1994),1to5
975,Laputa: Castle in the Sky (Tenkû no shiro Rapyuta) (1986),1to5
975,"English Patient, The (1996)",gt10
975,Best in Show (2000),gt10
975,Independence Day (a.k.a. ID4) (1996),-1
975,American Beauty (1999),1to5
975,Star Wars: Episode IV - A New Hope (1977),1to5
975,Jurassic Park (1993),1to5
975,Terminator 2: Judgment Day (1991),1to5
975,"Matrix, The (1999)",1to5
975,Mr. Holland's Opus (1995),gt10
977,Fight Club (1999),1to5
977,Star Wars: Episode VI - Return of the Jedi (1983),6to10
977,Hoop Dreams (1994),1to5
977,Terminator 2: Judgment Day (1991),6to10
977,"Shawshank Redemption, The (1994)",1to5
976,American Beauty (1999),1to5
976,"Silence of the Lambs, The (1991)",6to10
976,Jurassic Park (1993),6to10
976,"Matrix, The (1999)",gt10
976,Star Wars: Episode IV - A New Hope (1977),6to10
976,Brazil (1985),6to10
976,Dances with Wolves (1990),1to5
976,Seven (a.k.a. Se7en) (1995),6to10
976,Star Wars: Episode VI - Return of the Jedi (1983),6to10
976,Forrest Gump (1994),1
981,L.A. Confidential (1997),1
981,"Shawshank Redemption, The (1994)",1
981,Ace Ventura: Pet Detective (1994),1to5
981,Pulp Fiction (1994),1to5
981,Independence Day (a.k.a. ID4) (1996),6to10
981,True Lies (1994),1to5
981,Apollo 13 (1995),gt10
981,"Fugitive, The (1993)",6to10
981,Brazil (1985),6to10
981,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),gt10
985,Terminator 2: Judgment Day (1991),gt10
985,Fight Club (1999),gt10
985,Seven (a.k.a. Se7en) (1995),gt10
985,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),gt10
985,"Fugitive, The (1993)",gt10
985,"Matrix, The (1999)",1
985,Apollo 13 (1995),1to5
985,Ace Ventura: Pet Detective (1994),1to5
985,Clear and Present Danger (1994),gt10
985,True Lies (1994),gt10
984,Braveheart (1995),gt10
984,Dances with Wolves (1990),gt10
984,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),6to10
984,Star Wars: Episode IV - A New Hope (1977),1to5
984,Jurassic Park (1993),1
984,Forrest Gump (1994),1
984,Star Wars: Episode VI - Return of the Jedi (1983),1to5
984,Mr. Holland's Opus (1995),gt10
984,Ace Ventura: Pet Detective (1994),gt10
984,"Shawshank Redemption, The (1994)",6to10
983,Ace Ventura: Pet Detective (1994),gt10
983,"Shawshank Redemption, The (1994)",1to5
983,Jurassic Park (1993),gt10
983,Star Wars: Episode IV - A New Hope (1977),6to10
983,Independence Day (a.k.a. ID4) (1996),1to5
983,Star Wars: Episode VI - Return of the Jedi (1983),1to5
983,Terminator 2: Judgment Day (1991),6to10
983,Forrest Gump (1994),1to5
983,American Beauty (1999),-1
983,Braveheart (1995),1to5
986,Being John Malkovich (1999),gt10
986,Jurassic Park (1993),gt10
986,Terminator 2: Judgment Day (1991),gt10
986,"English Patient, The (1996)",gt10
986,Ace Ventura: Pet Detective (1994),gt10
986,Braveheart (1995),gt10
986,Forrest Gump (1994),gt10
986,Mr. Holland's Opus (1995),gt10
986,"Usual Suspects, The (1995)",gt10
986,Clear and Present Danger (1994),gt10
987,Pulp Fiction (1994),1
987,Jurassic Park (1993),1
987,Forrest Gump (1994),1to5
987,Fight Club (1999),1to5
987,"Matrix, The (1999)",1
987,Braveheart (1995),6to10
987,"Silence of the Lambs, The (1991)",1
987,"Shawshank Redemption, The (1994)",1
987,Star Wars: Episode IV - A New Hope (1977),1to5
987,Seven (a.k.a. Se7en) (1995),1to5
988,Fight Club (1999),6to10
988,"Shawshank Redemption, The (1994)",gt10
988,American Beauty (1999),gt10
988,Clear and Present Danger (1994),gt10
988,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),6to10
988,Independence Day (a.k.a. ID4) (1996),6to10
988,Star Wars: Episode VI - Return of the Jedi (1983),6to10
988,Terminator 2: Judgment Day (1991),1to5
988,Forrest Gump (1994),gt10
988,True Lies (1994),6to10
989,Independence Day (a.k.a. ID4) (1996),gt10
989,Terminator 2: Judgment Day (1991),gt10
989,Fight Club (1999),gt10
989,Forrest Gump (1994),gt10
989,"Silence of the Lambs, The (1991)",gt10
989,Jurassic Park (1993),gt10
989,"Shawshank Redemption, The (1994)",6to10
989,Braveheart (1995),6to10
989,Ace Ventura: Pet Detective (1994),gt10
989,Pulp Fiction (1994),6to10
991,Braveheart (1995),gt10
991,"Matrix, The (1999)",1
991,"Shawshank Redemption, The (1994)",1to5
991,Star Wars: Episode IV - A New Hope (1977),6to10
991,Jurassic Park (1993),1to5
991,Star Wars: Episode VI - Return of the Jedi (1983),6to10
991,Mr. Holland's Opus (1995),gt10
991,Forrest Gump (1994),6to10
991,Pulp Fiction (1994),6to10
991,Independence Day (a.k.a. ID4) (1996),6to10
993,Forrest Gump (1994),1to5
993,"Shawshank Redemption, The (1994)",1
993,Braveheart (1995),1to5
993,"Matrix, The (1999)",1to5
993,Seven (a.k.a. Se7en) (1995),1to5
993,Independence Day (a.k.a. ID4) (1996),1
993,"Usual Suspects, The (1995)",6to10
993,"Silence of the Lambs, The (1991)",1to5
993,Star Wars: Episode VI - Return of the Jedi (1983),1
993,Pulp Fiction (1994),1
995,Forrest Gump (1994),gt10
995,Mr. Holland's Opus (1995),gt10
995,Terminator 2: Judgment Day (1991),gt10
995,Best in Show (2000),gt10
995,Jurassic Park (1993),1to5
995,American Beauty (1999),gt10
995,Ace Ventura: Pet Detective (1994),gt10
995,Star Wars: Episode VI - Return of the Jedi (1983),1to5
995,Amadeus (1984),gt10
995,Star Wars: Episode IV - A New Hope (1977),1to5
992,Ace Ventura: Pet Detective (1994),gt10
992,Independence Day (a.k.a. ID4) (1996),1to5
992,L.A. Confidential (1997),gt10
992,Monsoon Wedding (2001),gt10
992,"English Patient, The (1996)",gt10
992,Chasing Amy (1997),gt10
992,Fight Club (1999),gt10
992,"Matrix, The (1999)",gt10
992,American Beauty (1999),gt10
992,Jurassic Park (1993),gt10
994,Seven (a.k.a. Se7en) (1995),6to10
994,Independence Day (a.k.a. ID4) (1996),6to10
994,Apollo 13 (1995),6to10
994,Braveheart (1995),-1
994,Star Wars: Episode IV - A New Hope (1977),1to5
994,Star Wars: Episode VI - Return of the Jedi (1983),1to5
994,Terminator 2: Judgment Day (1991),1
994,Pulp Fiction (1994),1
994,"Matrix, The (1999)",1
994,Forrest Gump (1994),1
997,Being John Malkovich (1999),6to10
997,Forrest Gump (1994),1
997,Apollo 13 (1995),6to10
997,Independence Day (a.k.a. ID4) (1996),1to5
997,Terminator 2: Judgment Day (1991),6to10
997,Braveheart (1995),1to5
997,Star Wars: Episode IV - A New Hope (1977),1to5
997,Star Wars: Episode VI - Return of the Jedi (1983),1to5
997,Laputa: Castle in the Sky (Tenkû no shiro Rapyuta) (1986),1
997,"Matrix, The (1999)",1to5
999,Independence Day (a.k.a. ID4) (1996),6to10
999,"Silence of the Lambs, The (1991)",1to5
999,Seven (a.k.a. Se7en) (1995),1to5
999,Braveheart (1995),1to5
999,Forrest Gump (1994),1to5
999,Dances with Wolves (1990),1
999,"Fugitive, The (1993)",1to5
999,Jurassic Park (1993),1to5
999,Fight Club (1999),1to5
999,American Beauty (1999),1to5
998,Chasing Amy (1997),1to5
998,Apollo 13 (1995),6to10
998,Braveheart (1995),1to5
998,Pulp Fiction (1994),-1
998,"Usual Suspects, The (1995)",1to5
998,Forrest Gump (1994),gt10
998,Dances with Wolves (1990),-1
998,Independence Day (a.k.a. ID4) (1996),1
998,American Beauty (1999),gt10
998,"Fugitive, The (1993)",6to10
1001,Fight Club (1999),1to5
1001,Forrest Gump (1994),6to10
1001,Chasing Amy (1997),gt10
1001,Being John Malkovich (1999),1
1001,"Shawshank Redemption, The (1994)",1to5
1001,Brazil (1985),1to5
1001,Apollo 13 (1995),gt10
1001,Terminator 2: Judgment Day (1991),gt10
1001,Dances with Wolves (1990),gt10
1001,L.A. Confidential (1997),gt10
1000,"Shawshank Redemption, The (1994)",1to5
1000,Being John Malkovich (1999),6to10
1000,Forrest Gump (1994),1to5
1000,"Silence of the Lambs, The (1991)",gt10
1000,Amadeus (1984),gt10
1000,Ace Ventura: Pet Detective (1994),gt10
1000,Braveheart (1995),gt10
1000,Pulp Fiction (1994),gt10
1000,Terminator 2: Judgment Day (1991),gt10
1000,"English Patient, The (1996)",gt10
1003,Pulp Fiction (1994),1to5
1003,Forrest Gump (1994),6to10
1003,Ace Ventura: Pet Detective (1994),gt10
1003,Jurassic Park (1993),6to10
1004,Jurassic Park (1993),gt10
1004,Star Wars: Episode VI - Return of the Jedi (1983),gt10
1004,"Silence of the Lambs, The (1991)",gt10
1004,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),gt10
1004,L.A. Confidential (1997),gt10
1004,"Usual Suspects, The (1995)",gt10
1004,"Matrix, The (1999)",6to10
1004,Apollo 13 (1995),gt10
1004,Amadeus (1984),gt10
1004,Braveheart (1995),gt10
1008,"Matrix, The (1999)",1
1008,Pulp Fiction (1994),1to5
1008,Jurassic Park (1993),1to5
1008,Amadeus (1984),1to5
1008,Terminator 2: Judgment Day (1991),6to10
1008,Ace Ventura: Pet Detective (1994),6to10
1008,Star Wars: Episode VI - Return of the Jedi (1983),1
1008,Forrest Gump (1994),6to10
1008,True Lies (1994),1to5
1008,Brazil (1985),1to5
1016,Fight Club (1999),1to5
1016,Terminator 2: Judgment Day (1991),1to5
1016,Jurassic Park (1993),1to5
1016,Star Wars: Episode VI - Return of the Jedi (1983),1to5
1016,"Fugitive, The (1993)",1to5
1016,Independence Day (a.k.a. ID4) (1996),1to5
1016,"Silence of the Lambs, The (1991)",1to5
1016,Pulp Fiction (1994),6to10
1016,Star Wars: Episode IV - A New Hope (1977),1to5
1016,Forrest Gump (1994),1to5
1017,Forrest Gump (1994),1
1017,American Beauty (1999),6to10
1017,Dances with Wolves (1990),6to10
1017,Independence Day (a.k.a. ID4) (1996),1
1017,"Shawshank Redemption, The (1994)",1
1017,"Silence of the Lambs, The (1991)",1
1017,Jurassic Park (1993),1to5
1017,Terminator 2: Judgment Day (1991),1to5
1017,"Fugitive, The (1993)",1
1017,Apollo 13 (1995),1to5
1018,Star Wars: Episode VI - Return of the Jedi (1983),1to5
1018,Amadeus (1984),6to10
1018,"Matrix, The (1999)",6to10
1018,Apollo 13 (1995),6to10
1018,Forrest Gump (1994),6to10
1018,Best in Show (2000),gt10
1018,Jurassic Park (1993),gt10
1018,"Shawshank Redemption, The (1994)",6to10
1018,Independence Day (a.k.a. ID4) (1996),6to10
1018,"Silence of the Lambs, The (1991)",1to5
1020,Forrest Gump (1994),gt10
1020,"Usual Suspects, The (1995)",1to5
1020,"Matrix, The (1999)",1to5
1020,Jurassic Park (1993),gt10
1020,"Shawshank Redemption, The (1994)",1to5
1020,Fight Club (1999),1to5
1020,American Beauty (1999),1to5
1020,Pulp Fiction (1994),1to5
1020,Braveheart (1995),1to5
1020,"Silence of the Lambs, The (1991)",1
1019,"Silence of the Lambs, The (1991)",gt10
1019,Braveheart (1995),6to10
1019,Fight Club (1999),1to5
1019,"Pagemaster, The (1994)",gt10
1019,"Matrix, The (1999)",1to5
1019,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),1to5
1019,Pulp Fiction (1994),1to5
1019,Jurassic Park (1993),gt10
1019,American Beauty (1999),gt10
1019,Forrest Gump (1994),gt10
1021,Braveheart (1995),1to5
1021,Forrest Gump (1994),1to5
1021,Star Wars: Episode VI - Return of the Jedi (1983),1
1021,Independence Day (a.k.a. ID4) (1996),1to5
1021,Star Wars: Episode IV - A New Hope (1977),1
1021,"Matrix, The (1999)",1
1021,Apollo 13 (1995),1to5
1021,"Fugitive, The (1993)",6to10
1021,American Beauty (1999),6to10
1021,Pulp Fiction (1994),1to5
1025,"Matrix, The (1999)",6to10
1025,Terminator 2: Judgment Day (1991),6to10
1025,Pulp Fiction (1994),6to10
1025,"Silence of the Lambs, The (1991)",6to10
1025,Best in Show (2000),gt10
1025,Chasing Amy (1997),1to5
1025,Fight Club (1999),1to5
1025,Apollo 13 (1995),1to5
1025,Jurassic Park (1993),6to10
1025,Forrest Gump (1994),6to10
1026,Braveheart (1995),1
1026,"Silence of the Lambs, The (1991)",1to5
1026,American Beauty (1999),1to5
1026,Apollo 13 (1995),1to5
1026,True Lies (1994),1to5
1026,Fight Club (1999),1to5
1026,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),1to5
1026,Jurassic Park (1993),1
1026,"Matrix, The (1999)",1
1026,Independence Day (a.k.a. ID4) (1996),1to5
1027,Being John Malkovich (1999),6to10
1027,Get Shorty (1995),6to10
1027,Apollo 13 (1995),6to10
1027,Forrest Gump (1994),6to10
1027,Fight Club (1999),6to10
1027,Dances with Wolves (1990),6to10
1027,Independence Day (a.k.a. ID4) (1996),6to10
1027,"Matrix, The (1999)",6to10
1027,True Lies (1994),6to10
1027,"Silence of the Lambs, The (1991)",6to10
1028,"Silence of the Lambs, The (1991)",gt10
1028,Forrest Gump (1994),gt10
1028,"Shawshank Redemption, The (1994)",gt10
1028,American Beauty (1999),gt10
1028,Dances with Wolves (1990),gt10
1028,"Matrix, The (1999)",gt10
1029,Fight Club (1999),6to10
1029,"Usual Suspects, The (1995)",6to10
1029,Forrest Gump (1994),6to10
1029,Star Wars: Episode IV - A New Hope (1977),1
1029,Jurassic Park (1993),1to5
